epoch,train_loss,train_acc,test_loss,test_acc
0,0.0161115572314996,0.8288461538461539,0.008992295059449743,0.9603846153846154
1,0.00861516367796307,0.9420192307692308,0.007004684230107014,0.9680769230769231
2,0.007322131481935055,0.9576923076923077,0.004911966019087225,0.9692307692307692
3,0.006013616142042268,0.9629807692307693,0.004498264147977536,0.9761538461538461
4,0.0048629147359147635,0.9699038461538462,0.0035189393299439476,0.9726923076923077
5,0.004162811842182306,0.9759615384615384,0.003263154418733181,0.9819230769230769
6,0.0031344491497239126,0.9818269230769231,0.0023889335435095314,0.9861538461538462
7,0.0022740610652768876,0.9870192307692308,0.0018788944664565289,0.9888461538461538
8,0.0017617222729337265,0.9917307692307692,0.0018916237065698294,0.9892307692307692
9,0.001498041110557842,0.9920192307692308,0.003469681352397743,0.9853846153846154
10,0.0013906641535057886,0.9940384615384615,0.0023231866530933156,0.9896153846153846
11,0.0009066110368015581,0.9956730769230769,0.002307605134888564,0.9896153846153846
12,0.0008800525641423967,0.9952884615384615,0.002101729657236071,0.9892307692307692
13,0.0006976538133986375,0.9966346153846154,0.002967249468564924,0.9903846153846154
14,0.0005126405667925214,0.9973076923076923,0.002752905004609206,0.9903846153846154
15,0.0005331364139245925,0.9974038461538461,0.0033033617010760283,0.9907692307692307
16,0.000770465007309427,0.9967307692307692,0.0024429087267125852,0.9915384615384616
17,0.00032520226336301084,0.9982692307692308,0.0035059165469408897,0.9911538461538462
18,0.0002327641552641237,0.9988461538461538,0.003451315601874377,0.9915384615384616
19,0.0001984783297960258,0.9990384615384615,0.004969605108329717,0.9892307692307692
