epoch,train_loss,train_acc,test_loss,test_acc
0,0.013241426728602524,0.910523786641038,0.006672910954931785,0.9557692307692308
1,0.007042390577956557,0.954925516578568,0.005743404270429736,0.9684615384615385
2,0.005917350224378596,0.9601153291686689,0.004742560214170203,0.9623076923076923
3,0.00476816773828302,0.9688611244593945,0.0038240296624035236,0.975
4,0.003787929889554086,0.9738587217683806,0.003678429431802996,0.98
5,0.002803612989089061,0.9813551177318597,0.0035605671558192747,0.985
6,0.0019274830927433686,0.9868332532436329,0.0018319481330825041,0.9876923076923076
7,0.0014240641690895202,0.9890437289764537,0.0029265255518246013,0.9846153846153847
8,0.001075155896879022,0.9926958193176357,0.0020696332764860268,0.9876923076923076
9,0.0008909261885617271,0.9944257568476694,0.0025632128693309627,0.9892307692307692
10,0.0005508607404485594,0.996828447861605,0.0027044486504084497,0.9846153846153847
11,0.0006139634793310647,0.9959634790965882,0.006594968982516132,0.9819230769230769
12,0.00042944179015645635,0.9966362325804902,0.0026604158472521866,0.99
13,0.0004428552346555159,0.9977895242671793,0.0036579383924003894,0.9846153846153847
14,0.0004153183598350684,0.9979817395482941,0.004424651335947738,0.9876923076923076
15,0.0005294660596901573,0.9967323402210476,0.004281360139838139,0.9892307692307692
16,0.00014102621696609005,0.9990389235944258,0.002578039673726671,0.9930769230769231
17,4.27511906156856e-05,0.9999038923594425,0.003886768418190775,0.9911538461538462
18,1.9876001635988153e-05,0.9999038923594425,0.004469242550536815,0.9911538461538462
19,7.346639637076563e-06,1.0,0.0047068918713614625,0.9915384615384616
