epoch,train_loss,train_acc,test_loss,test_acc
0,0.034676397771287996,0.8783653846153846,0.019803528699658218,0.9593558282208589
1,0.016521392444399402,0.9548076923076924,0.013631799114022427,0.9658742331288344
2,0.013388194590986061,0.9596153846153846,0.014628834568215477,0.9601226993865031
3,0.010711320029211213,0.9618269230769231,0.009664971355000294,0.9712423312883436
4,0.008795689958351432,0.9679807692307693,0.0091037841731496,0.9585889570552147
5,0.008364223420237698,0.9664423076923077,0.007606215412732774,0.968941717791411
6,0.007768273637129124,0.9677884615384615,0.007056336675438833,0.9723926380368099
7,0.007164969868834025,0.9701923076923077,0.007511777617865327,0.9700920245398773
8,0.006496572945228624,0.9717307692307692,0.00659732372099423,0.9746932515337423
9,0.005854905133623666,0.97375,0.008566944529222962,0.9727760736196319
