epoch,train_loss,train_acc,test_loss,test_acc
0,0.012088438740152365,0.9260576923076923,0.008386217798334919,0.9619230769230769
1,0.006705693944711059,0.958076923076923,0.006862517369859652,0.9715384615384616
2,0.00523975186093594,0.9646153846153847,0.004460643986747115,0.9738461538461538
3,0.003889990732361464,0.9694230769230769,0.004936764283904569,0.9757692307692307
4,0.0031198768974550497,0.97625,0.002237407295359861,0.9830769230769231
5,0.0020647329770301544,0.984326923076923,0.002226539340223165,0.985
6,0.0017081430141559213,0.9882692307692308,0.0019858533556583046,0.9892307692307692
7,0.001226355759851304,0.9918269230769231,0.0017330406179119045,0.9907692307692307
8,0.0011212916354082338,0.9929807692307693,0.0015750779216744536,0.9919230769230769
9,0.0008577701739130297,0.9949038461538462,0.0021579169459961436,0.9892307692307692
10,0.0006567387313613615,0.9952884615384615,0.0023837846661088594,0.99
11,0.0008421848131821592,0.9949038461538462,0.0017076911884170846,0.9896153846153846
12,0.00038068157331999793,0.9980769230769231,0.0050632476760891785,0.9873076923076923
13,0.0005692030368562751,0.9968269230769231,0.002757052811754666,0.9903846153846154
14,0.00020318889543367188,0.9984615384615385,0.002881530062014142,0.9907692307692307
15,0.0005242576286376145,0.9970192307692308,0.0025316444296315304,0.9911538461538462
16,0.0002023348528558146,0.9985576923076923,0.0031392135845338836,0.9911538461538462
17,9.05942155692007e-05,0.999423076923077,0.004579916758118329,0.9903846153846154
18,0.0003120208472976081,0.99875,0.002795950495366883,0.9911538461538462
19,0.00019782527612583316,0.9986538461538461,0.004210061171160229,0.9907692307692307
