epoch,train_loss,train_acc,test_loss,test_acc
0,0.01182294090605305,0.9240384615384616,0.0071701418163477686,0.9638461538461538
1,0.00633121855317418,0.959326923076923,0.008176986012747797,0.9684615384615385
2,0.005272254815208726,0.9676923076923077,0.004838853156011255,0.9703846153846154
3,0.004270246415477371,0.9700961538461539,0.0049132433871880024,0.9784615384615385
4,0.0030130805255934178,0.9783653846153846,0.0028825850382708284,0.98
5,0.0022092635924757186,0.984326923076923,0.0039042864669135064,0.9846153846153847
6,0.0016120057156394278,0.9886538461538461,0.0022153873009402043,0.9823076923076923
7,0.0010859417670324616,0.9927884615384616,0.0018811858841522148,0.9907692307692307
8,0.001032932816142595,0.9930769230769231,0.0021215409986379942,0.9919230769230769
9,0.0007540543885624209,0.9957692307692307,0.0020228511704224387,0.9907692307692307
10,0.0005827115475998513,0.9956730769230769,0.002830025353938237,0.9884615384615385
11,0.0003641438558088558,0.9971153846153846,0.0023622521402887255,0.9903846153846154
12,0.000739728702275882,0.9963461538461539,0.004353942046019016,0.9876923076923076
13,0.00028933058546391305,0.9977884615384616,0.0039734580889605724,0.9888461538461538
14,0.00018928442628695033,0.9990384615384615,0.006570398302213622,0.9869230769230769
15,0.00034917909172053457,0.9979807692307693,0.010219064314690428,0.9826923076923076
16,0.00031362882237000525,0.9981730769230769,0.0044376238535000015,0.9892307692307692
17,4.5530649708867855e-05,0.9998076923076923,0.004996450413964203,0.9896153846153846
18,2.6238819429628903e-05,0.9999038461538462,0.0036658143901343787,0.9907692307692307
19,7.0367378600597264e-06,1.0,0.0046611384959740374,0.9892307692307692
